0	8	40	50	90	100	110	111	245	246	300	500	505	600	610	650	700	710	711
01575cam a2200361 i 4500	150831t20142014bcca\\\g\b\\\\000\0deng\\	DLCengrdaDLCOCLCFOCLCOOCLCQ	N6549.C83A4 2014		"Coupland, Douglas,artist."			"Douglas Coupland :everywhere is anywhere is anything is everything : [Exhibition Vancouver Art Gallery, Vancouver, 31 May - 1 September 2014 ; Museum of Contemporary Canadian Art, Toronto, 30 January - 18 April 2015 and Royal Ontario Museum, Toronto, 30 January - 26 April 2015] /Daina Augaitis, editor."		281 pages :color illustrations ;29 cm			"Coupland, Douglas--Exhibitions."		Installations (Art)--Canada--Exhibitions.;Conceptual art--Canada--Exhibitions.	"Augaitis, Daina."		
01435cam a2200337Ii 4500	151019s2016\\\\moua\\\\\6\\\\000\p\eng\d	YDXCPengrdaYDXCPBTCTAOCLCOOCLCQUNLZCUOCLCFOCLCOWAUOCLGZDOCL		PS3619.T65643P65 2016	"Stone, Bianca,author,illustrator."			Poetry comics from the book of hours /Bianca Stone.	Book of hours	79 pages :illustrations (some color) ;25 cm		"Fashion superstars of tomorrow --Because you love you come apart --Noon --Kreon beer --Invitation to a party --Before long --I want to open the mouth God gave you, beautiful mutant --Waltzing with you --Antigone IPA --Les miserables --7th floor --We dust the walls --How it is --Communication with the dead --Elopement risk."			"Visual poetry, American.;American poetry--21st century."			
01854cam a2200373Ii 4500	150903s2016\\\\enk\\\\\\b\\\\001\0\eng\d	BTCTAengrdaBTCTAYDXCPBDXNLEOCLCOQGKOCLCOCDXOCLCFOCLCOOCLCQOCLCOCOOZCULMLOCLCOCUTOCLLTSCADEBBGOCLCO	PR888.L3D45 2016		"del Valle AlcalaÌ¹, Roberto,author."			British working-class fiction :narratives of refusal and the struggle against work /Roberto del Valle AlcalaÌ¹.		"ix, 192 pages ;25 cm"		"Introduction : British working-class fiction and the struggle against work -- Between capitalist subsumption and proletarian independence : Alan Sillitoe, David Storey and the post-war working class -- Reproductive work and proletarian resistance in transition : Nell Dunn and Pat Barker -- Beyond civil society : proletarian exodus in James Kelman and Irvine Welsh -- Work in crisis : precarious subversions in Monica Ali and Joanna Kavenna."			English fiction--20th century--History and criticism.;English fiction--21st century--History and criticism.;Working class in literature.;Capitalism in literature.;Labor in literature.			
01121cam a2200313Ii 4500	151231t20162016gw\\\\\\\b\\\\000\0\eng\d	YDXCPengrdaYDXCPBTCTAOCLCQSINTUOCLCOOCLCFYDXLTSCAOHX	PR2880.A1S285 2016		"Scaravelli, Enrico,author."			"The rise of bardolatry in the Restoration :paratexts of Shakespearean adaptations and other texts, 1660-1737 /Enrico Scaravelli."		261 pages ;23 cm			"Shakespeare, William,--1564-1616--Adaptations--History and criticism."					
01217cam a2200361Ii 4500	160106t20162016enk\\\\\\b\\\\001\0\eng\d	YDXCPengrdaYDXCPBTCTAOCLCQSTFOCLCONDDOCLCFOHXCDXCHVBKCDN	DA966.2.A98 2016					Authority and wisdom in the new Ireland :studies in literature and culture /Carmen Zamorano Llena and Billy Gray (eds).		"vii, 267 pages ;23 cm."						"Zamorano Llena, Carmen,editor.;Gray, BIlly,editor."		
02019cam a2200433 i 4500	160627t20162016enk\\\\\\b\\\\001\0\eng\d	YDXCPengrdaDLCYDXCPOCLCFORUCDXBTCTABDXOCLCQ	JS78.T45 2016		"Teles, Filipe,author."			Local governance and inter-municipal cooperation /Filipe Teles.	Local governance and intermunicipal cooperation	"ix, 107 pages ;23 cm."		"Local governments working together : relevance and motivations -- Diversity in inter-municipal arrangements : nature, theory and citizens -- In search of efficiency in local governance : size and alternatives -- Rescaling governance in European reforms -- An illustration : the Portuguese case -- Inter-municipal cooperation : present limitations and future developments."			Local government--Management.;Intergovernmental cooperation.			
02779cam a22004097i 4500	151127t20152015gw\\\\\\\b\\\\000\0\eng\d	OHXengrdaDLCOHXYDXCPHEBISOCLCFVGMLMLDEBBGCUTOCLCQ	GV1469.15.F75 2015		"Freyermuth, Gundolf S.,1955-author."			"Games / game design / game studies :an introduction /Gundolf S. Freyermuth ; with contributions by Andre Czauderna, Nathalie Pozzi and Eric Zimmerman."		290 pages ;24 cm.		Games. What is a game? Systematic and historical approaches -- Games in the modern era : a short media history -- Procedural turn (since the 1950s) -- Hyperepic turn (since the 1970s) -- Hyperrealistic turn (since the 1990s) -- The double alterity of digital games -- A look ahead : hyperimmersive turn? -- Intermezzo : game//film. Game and film -- Audiovisual rivalries -- modes of audiovisual storytelling -- Game design. Analog design -- Digital design -- A short history of game design -- Areas of game design -- Practices of game design -- Game studies. Theories of analog games vs. theories of digital game -- The schisma of game studies -- Desideratum : overcoming the schisma -- Perspectives of research 1 : digital games -- Perspectives of research 2 : serious games -- Epilog. Academization and aesthetic production.			Computer games.;Digital media.			
01365cam a22003977a 4500	151023s2016\\\\vraab\\e\b\\\\001\0\eng\d	ANLengDLCAU@OCLCFCDXYDXCPOCLCOZCUOCLCOOCLOCLCOZWZOCLCOOCLCQ	DU112.M13 2016		"Macintyre, Stuart,1947-"			A concise history of Australia /Stuart Macintyre.		"374 pages :illustrations, maps ;22 cm."	Record machine-generated from publisher information.				Aboriginal Australians--History.			
02636cam a2200337Ii 4500	150314s2015\\\\ie\\\\\\\b\\\\001\0\eng\d	BTCTAengrdaBTCTABDXCDXYDXCPNLEOCLCOUABEMUOCLCOOCLCFOCLCOYBMOCLCOOCLORUOCLCOOCLOCLCONUIIAK	PR8801.O27 2015		"O'Brien, George,1945-author."			"The Irish novel, 1800-1910 /George O'Brien."		"li, 280 pages ;24 cm."		"Introduction -- 1800: Maria Edgeworth, Castle Rackrent -- 1820: Charles Maturin, Melmoth the Wanderer -- 1823: John Gamble, Charlton; or, Scenes in the North of Ireland :  a tale -- 1824: Thomas Moore, Memoirs of Captain Rock -- 1826: John Banim, The Boyne Water -- 1827: Lady Morgan, The O'Briens and the O'Flahertys -- 1829: Gerald Griffin, The collegians -- 1832: Harriet Martineau, Ireland : a tale -- 1845: Anna Maria Hall, The Whiteboy -- 1847: William Carleton, The black prophet -- 1856: W.M. Thackeray, The memoirs of Barry Lyndon -- 1860: Anthony Trollope, Castle Richmond -- 1863: Joseph Sheridan Le Fanu, The house by the churchyard -- 1864: William Allingham, Laurence Bloomfield in Ireland -- 1865: Charles Lever, Luttrell of Arran -- 1873: Charles Kickham, Knocknagow -- 1876: May Laffan Hartley, Hogan, M.E -- 1883: Charlotte Riddell, A struggle for fame -- 1885: George Moore, A Mummer's wife -- 1886: Rosa Mulholland, Marcella Grace -- 1887: George Bernard Shaw, An unsocial socialist -- 1890: William O'Brien, When we were boys -- 1891: Oscar Wilde, The picture of Dorian Gray -- 1892: Emily Lawless, Grania : the story of an island -- 1894: Somerville and Ross, The real Charlotte -- 1897: Bram Stoker, Dracula -- 1901: P.A. Sheehan, Luke Delmege -- 1905: Shan F. Bullock, Dan the Dollar -- 1908: Katherine Cecil Thurston, The fly on the wheel -- 1910: W.P. Ryan, The plough and the cross."			"Novelists, Irish--19th century.;Novelists, Irish--20th century.;English fiction--Irish authors--History and criticism.;English fiction--19th century--History and criticism.;English fiction--20th century--History and criticism."			
02721cam a2200349Ii 4500	150904t20162016ctuab\\\\b\\\\001\0\eng\d	YDXCPengrdaYDXCPBTCTABDXOCLCOOCLCQPX0AMHOCLCFORUOCL	QC945.L66 2016		"Long, Stephen,1953-author."			Thirty-eight :the hurricane that transformed New England /Stephen Long.	'38 :the hurricane that transformed New England	"xv, 251 pages :illustrations, maps ;22 cm"		White Pine -- Tropical cyclone -- Disparate destruction -- Better than box -- A day at the fair -- Cleaning up -- Loggers and sawyers -- The new forest -- Telltale signs -- The wind next time.			"New England Hurricane, 1938.;Hurricanes--New England--History--20th century."			
